professor,content,class_level,rating,date
Daisy Fan,"Great professor! Very enthusiastic, kept lectures interesting, able to answer all questions.", CS1112,"QUALITY
4.5
DIFFICULTY
4.0","Jan 1st, 2014"
Daisy Fan,"Intensive project assignments, but helpful lecture materials. All is well except homework is a lot.", CS1112,"QUALITY
5.0
DIFFICULTY
4.0","Nov 30th, 2013"
Daisy Fan,"Lectures are pretty easy to follow. Exams are very fair and straightforward. Projects can be time consuming but really help solidify some concepts. I really recommend taking the AEW offered. Her grading system is terrible, very few people get the highest grades.", CS1112,"QUALITY
3.5
DIFFICULTY
3.0","Jun 5th, 2013"
Daisy Fan,She is incredible!! She takes the time to meet individually with students and clearly really cares!! So wonderful!, CS1112,"QUALITY
5.0
DIFFICULTY
3.0","Apr 27th, 2013"
Daisy Fan,"Great professor, very engaging and excited about the material. She really wants you to learn. Would take another class taught by her in a heartbeat. Definitely the best professor I've had so far.", CS1112,"QUALITY
4.0
DIFFICULTY
2.0","Apr 23rd, 2013"
Daisy Fan,"To be honest, I dun understand why people find her good. As someone who has no prior knowledge of programming, I feel that she did a very poor job at explaining the material, and worse, try to complicate simple things. The commonplace application of math is obnoxious at best and to be honest, MatLab is not a programming language..", CS1112,"QUALITY
1.5
DIFFICULTY
5.0","Apr 7th, 2013"
Daisy Fan,"She is very prepared and tries to be very clear. She reviews certains parts of lecture in depth until you completely understand the concept. Workload is easy (too easy, perhaps?) and grading fair.", CS1112,"QUALITY
4.0
DIFFICULTY
2.0","Dec 25th, 2012"
Daisy Fan,I had a pretty strong knowledge of programming before this class so I didn't depend on lectures much. But she was very clear and enthusiastic during lectures and was very nice outside of class as well! I found that most people liked her during my semester but it was quite the opposite the next., CS1112,"QUALITY
3.5
DIFFICULTY
2.0","Sep 8th, 2012"
Daisy Fan,"Don't know why everyone below loves her but I was new to programming and made every attempt to learn by going to her office hours only to be rudely undermined and left to work on my own. She just makes assumptions about you and judges in a very condescending manner. Prelims seemed relatively reasonable, but they certainly weren't graded reasonably!", CS1112,"QUALITY
1.5
DIFFICULTY
5.0","May 25th, 2012"
Daisy Fan,One of the best professors I've ever had in my entire life. She really knows what she is talking about and very excited about teaching programming. She's very clear in her lectures., CS1112,"QUALITY
5.0
DIFFICULTY
3.0","May 19th, 2012"
Daisy Fan,Daisy Fan is by far the best teacher I had last semester. All of her lectures were helpful and posted online for reference. Help was easily found in her class., CS1112,"QUALITY
4.0
DIFFICULTY
3.0","Jan 12th, 2012"
Daisy Fan,Daisy is the best! I didn't know anything about CS before I took her class and she made the material really easy to understand and was incredibly helpful during office hours. The projects took forever to complete but they were the only homework., CS1112,"QUALITY
4.0
DIFFICULTY
3.0","Jun 30th, 2011"
Daisy Fan,"Some people are just better at programming than others. Too bad I wasn't one of those people. I found her tough (never programmed before), but she taught me a lot.", CS1112,"QUALITY
4.5
DIFFICULTY
4.0","Apr 24th, 2011"
Daisy Fan,"I really like her powerpoint slides. Printing them out and bringing them to the lectures next day make the class go easier. She's pretty clear but she only touches on the basics, even though the projects take forever to finish... The CMS website allows students to see each of their grades, which is nice too.", CS1112,"QUALITY
4.0
DIFFICULTY
4.0","Jan 18th, 2011"
Daisy Fan,GOOD PROF. PROJECTS TAKE SO LONG., CS1112,"QUALITY
3.0
DIFFICULTY
4.0","Jan 6th, 2011"
Daisy Fan,"Prof Fan was my favorite professor; she was so clear and helpful. Her office hours are great. Projects take forever, but are very helpful for learning the material. Exams are fairly easy. There's no curve, so do well on them!", CS1112,"QUALITY
5.0
DIFFICULTY
4.0","Jan 1st, 2011"
Daisy Fan,"Good lecturer. Exceedingly impossible for newcomers, but for people who've programmed before, should be an A-. Projects-Hard, TA's-Awesome,very helpful,Tests-Tricky but easy. She doesn't curve. Uses Powerpoint presentations usually. Very interesting if one likes CS, because MATLAB is a weird, yet fun language to play with.", CSCS,"QUALITY
4.0
DIFFICULTY
3.0","Nov 12th, 2010"
Daisy Fan,"I came in not knowing anything about MatLab or CS, but this was my easiest class. Daisy explains everything a lot, usually repeats herself enough that it gets annoying. Daisy makes the class REALLY easy, group projects (a few hours every couple of weeks) are the only hw, prelims and final were pretty simple, overall not a hard class at all.", CS112,"QUALITY
4.0
DIFFICULTY
2.0","Jul 31st, 2009"
Daisy Fan,"Excellent, very clear professor, one of the best I have ever had.", CS1112,"QUALITY
5.0
DIFFICULTY
3.0","May 15th, 2009"
Daisy Fan,Great professor:) office hours are really useful!, CSCS,"QUALITY
4.5
DIFFICULTY
2.0","Apr 9th, 2009"
Daisy Fan,assignment parameters were very vague., CS1132,"QUALITY
1.5
DIFFICULTY
3.0","Mar 24th, 2009"
Daisy Fan,"Very clear, very helpful teacher. Awesome! Very accurate and understandable. The course packets tended to be way harder than the class, HW, or tests, and only reiterated what she said in class. She posted almost everything to the web, so it was easy to see what she covered when. I wish I had more classes like that one!", CS1112,"QUALITY
5.0
DIFFICULTY
2.0","Feb 15th, 2009"
Daisy Fan,"I had a programming class before this one, but by comparison this one was clearer and very well-organized. Helpful sections and very clear lectures that kept my interest.", CS1112,"QUALITY
5.0
DIFFICULTY
4.0","Jan 19th, 2009"
Daisy Fan,"I hate programming, but Fan was very entertaining as a Prof. I liked her a lot, I never went to office hours, but she seemed very approachable. The CS material was dry, but I really did like Prof. Fan. Exams were easy for some, hard for others, it really just depended on how well you could program-lecture doesn't really influence that.", CS100M,"QUALITY
4.5
DIFFICULTY
4.0","Jun 6th, 2008"
Daisy Fan,"Pretty good lecturer. All notes online so you don't have to go, but there are some iClicker quizzes. Projects are not too difficult and teach you the material, which means less studying for prelims, which are all extremely easy.", CS100M,"QUALITY
3.0
DIFFICULTY
2.0","May 13th, 2008"
Daisy Fan,"awesome prof. explains things very well. go to her office hours if you miss lecture. unfortunately, she doesn't curve.", CS100M,"QUALITY
4.5
DIFFICULTY
4.0","Aug 11th, 2007"
Daisy Fan,"I came into her class with no progamming experience, with the expectation that I would struggle. I, however, had no trouble with the course and did very well. If you hit the ground running and learn the basic syntax and vocabulary, the course isn't bad at all. she's not the most exciting lecturer, but I learned a lot from Prof. Fan.", COMS100M,"QUALITY
4.0
DIFFICULTY
2.0","Jun 29th, 2007"
Daisy Fan,I really like her. She is very clear in lecture and the tests are fair. The projects though are impossible and horrible., CS100M,"QUALITY
4.5
DIFFICULTY
4.0","May 17th, 2007"
Daisy Fan,"Apparently this was tough for people who had not had background in computer science, but she will help you if you ask for help. If you've had any background programming whatsoever, her lectures refresh your memories well. Projects can be time-consuming but are always manageable.", CS100M,"QUALITY
3.5
DIFFICULTY
2.0","Apr 15th, 2007"
Daisy Fan,"The material can be hard, but she is helpful and patient. Office hours and sections are beneficial.", CS100M,"QUALITY
5.0
DIFFICULTY
4.0","Jan 16th, 2007"
Daisy Fan,"The most useless professor EVER. Always fell asleep in her class, half the class is asleep anyway, another fourth is chatting with friends and another eighth is chatting away on their computer. She is really bubbly and her lectures do not really help at all. Prelims and projects are annoying, stay away unless you absolutely have to take the course.", CSM,"QUALITY
1.0
DIFFICULTY
4.0","Nov 12th, 2006"
Daisy Fan,"Lectures where somewhat helpful, things she said made sense when put together with projects. The best way to learn the material is to actually do it, so make sure you do all the projects. Also, quizzes in class are annoying and actually count in your grade. Thats the only reason most went to lecture.", COMS100M,"QUALITY
3.5
DIFFICULTY
3.0","Jul 6th, 2006"
Daisy Fan,Not a bad professor. Tests are fair and the projects are annoying but helpful. Make sure to get a good partner for the projects., CS100M,"QUALITY
3.0
DIFFICULTY
3.0","Apr 2nd, 2006"
Daisy Fan,"I thought she was really clear in lectures, but sometimes a little on the boring side. Tests are quite fair, and even with everything everyone here has said about her, just remember- M is still a lot easier than J- just ask anyone who has taken J! Pay attention to the grading on your tests, because there is usually room to argue for points.", CS100M,"QUALITY
4.0
DIFFICULTY
2.0","Jan 25th, 2006"
Daisy Fan,"Good clear lecturer, but boring. Tests are fair, the graders make lots of mistakes against you. The projects were interesting. Dont go to lecture if you dont have to.", COMS100,"QUALITY
5.0
DIFFICULTY
2.0","Jan 23rd, 2006"
Daisy Fan,I had no previous experience and found the class relatively easy as long as you go to lecture and section., CS100M,"QUALITY
4.5
DIFFICULTY
2.0","Nov 15th, 2005"
Daisy Fan,No Comments, CS100M,"QUALITY
2.0
DIFFICULTY
4.0","Nov 6th, 2005"
Daisy Fan,No Comments, CS100M,"QUALITY
1.0
DIFFICULTY
3.0","Nov 1st, 2005"
Daisy Fan,"Taking the class now. I concur with some of the ratings below. She appears pleasant, but is usually a *****!!!! She is not patient with the beginners in programming, and her exams pretty much****anyone who has had no previous exposure to programming. But unfortunately, every engineer's gotta take CS100...", CS100M,"QUALITY
3.0
DIFFICULTY
4.0","Oct 16th, 2005"
Daisy Fan,"The material can be challenging if you've never seen it before, but if you have even the slightest bit of experience with java or another language you've got it made. She is incredibly explicit, but the material can be tough and time consuming. Be prepared to spend mucho time on projects, and GET A PARTNER FOR THEM. it makes life so much easier! I learned a little java over the summer before i took her class and it paved the way to an A for me :)", CS100M,"QUALITY
4.5
DIFFICULTY
1.0","Sep 27th, 2005"
Daisy Fan,This rating has been removed as per our site guidelines., CS100,"QUALITY
1.0
DIFFICULTY
4.0","Sep 8th, 2005"
Daisy Fan,she was never clear in lecture and not helpful at all., CS100,"QUALITY
1.0
DIFFICULTY
4.0","Aug 15th, 2005"
Daisy Fan,"lectures hard to follow. she goes VERY fast. tests were reasonable, but it helps to review sample questions.", CS100M,"QUALITY
3.5
DIFFICULTY
2.0","Jul 24th, 2005"
Daisy Fan,"Despite what most people are saying on this site, I thought this class was very good. Her lectures were clear, she held office hours to which few people show up, and held review sessions herself. Personally, my TA was useless, but the AEW for the course was very good practice for the projects.", COMS100M,"QUALITY
4.5
DIFFICULTY
3.0","Apr 28th, 2005"
Daisy Fan,Relative to VanLoan she's the best professor ever., COMS100M,"QUALITY
3.5
DIFFICULTY
2.0","Apr 21st, 2005"
Daisy Fan,"She started out allright, but as the course progressed, her lectures became increasingly frenetic. If I hadn't taken APCS in high school, I don't think I would have done as well. She can be impatient when you ask her questions, but overall she's a fairly pleasant person.", CS100M,"QUALITY
3.0
DIFFICULTY
2.0","Apr 16th, 2005"
Daisy Fan,"Lectures are utterly incomprehensible, projects are unnecessarily difficult and complicated, often due on Sunday afternoons. Lecture tends to make you understand the material less than if you had never seen it before.", CS100,"QUALITY
1.0
DIFFICULTY
5.0","Apr 9th, 2005"
Daisy Fan,Crazy woman. Her exams and projects are insanely hard and they just keep getting hard every time she teaches the course. She seems out of touch with reality because she still seems to think that her exams and projects are not hard enough. She can also be pretty mean to students in lecture., CS100M,"QUALITY
2.0
DIFFICULTY
5.0","Feb 9th, 2005"
Daisy Fan,"Professor Fan's lectures were hard to follow. I recommend not missing any of them; she really jams a lot of information in that time. Although this is an introductory course, Fan moves through the material quickly.", CS100M,"QUALITY
2.5
DIFFICULTY
5.0","Jan 22nd, 2005"
Daisy Fan,"Her class was disgustingly hard and confusing. The prelims were killer. I thought I had an interest in CS before taking this course, but I will never take one again. They assume too much background knowlege and even when I understood a programming concept, the algorithims were way too hard.", CS100,"QUALITY
2.0
DIFFICULTY
5.0","Jan 16th, 2005"
Daisy Fan,lecturing- not very effective. Labs- better. one on one- best. the essential problem being that she cant be a privat tutor to everyone. her lecture notes are far less complicated than what is assigned in projects. she should be more explicit in lecture and not just grace over the subjects., CS100M,"QUALITY
4.0
DIFFICULTY
4.0","Nov 28th, 2004"
Daisy Fan,Doesn't have the capacity to teach such an important course, COMS100,"QUALITY
1.0
DIFFICULTY
3.0","Oct 25th, 2004"
Daisy Fan,"I had no issue with Fan. She was very nice. She does have an accent, it doesn't make her hard to understand. I had no programming experience prior, so the class was incredibly hard. Take my advice, if you've no prior experience, take it over the summer.", CS100M,"QUALITY
4.0
DIFFICULTY
5.0","Oct 17th, 2004"
Daisy Fan,I feel that I am bored in the class, CS100M,"QUALITY
3.5
DIFFICULTY
3.0","Sep 28th, 2004"
Daisy Fan,"of course, if you've had no programming experience whatsoever this class is very hard. but she goes out of her way to help you understand...all you have to do is go to her office hours.", CS100M,"QUALITY
5.0
DIFFICULTY
4.0","Jul 8th, 2004"
Daisy Fan,"The course requires Fan to teach to everybody from beginners to experienced programmers while using a lecture format, so it's no surprise she's not very good at it. Reading, sections, and projects are really the only way to learn in this class.", CS100M,"QUALITY
3.0
DIFFICULTY
2.0","Jun 14th, 2004"
Daisy Fan,"Not a bad teacher at all, better than a lot at cornell. class is sometimes difficult cause some students already know java, while others have no programming experience. makes a lot of bad jokes that are funny because they are so bad.", CS100J,"QUALITY
4.0
DIFFICULTY
3.0","Jun 13th, 2004"
Daisy Fan,"Super eazy class if you know what you are doing, really hard if you have no computer science experience at all (which most people don't). Lectures are pretty boring too.", CS100M,"QUALITY
3.0
DIFFICULTY
3.0","May 27th, 2004"
Daisy Fan,"Useless class. At least it scared me from the CS major. She is a little bubbly, but the lectures were still boring (at least one of my group of friends fell asleep ... most often me). One interesting part was her explanation of Objects. Cookie cutter!", CS100M,"QUALITY
3.0
DIFFICULTY
3.0","May 23rd, 2004"
Daisy Fan,"Lec... It is better to read the book by urself. If u hadn't read the chapters before lec, u would not have understand what she said. She makes this intro class like a review course for experienced programmers. And some projects are useless.", CS100M,"QUALITY
1.5
DIFFICULTY
3.0","May 20th, 2004"
Daisy Fan,she's totally awsome!!! take her class! go to her office hour!!!, CS100J,"QUALITY
5.0
DIFFICULTY
1.0","May 13th, 2004"
Daisy Fan,"Her lectures are extremely repetitive, if you don't understand her the first time try again the next five times. Quizzes in lecture to try and make you go, asks noncoding questions on tests to check if you read. Comfy chairs.", CS100J,"QUALITY
4.5
DIFFICULTY
2.0","Apr 20th, 2004"
Daisy Fan,Her classes are boring. Her accent is rather annoying and her projects are unnecessarily difficult., CS100J,"QUALITY
2.0
DIFFICULTY
3.0","Apr 19th, 2004"
Daisy Fan,At least the chairs were comfortable., CS100J,"QUALITY
3.5
DIFFICULTY
5.0","Apr 18th, 2004"
Daisy Fan,"I enjoy her lectures. Many ppl complain that her accent is stupid, or that the class is either too easy or hard, but quite frankly in cs class for ppl from basic engineers to cs majors, many are going to find it too hard while many find it to easy.", CS100J,"QUALITY
4.5
DIFFICULTY
1.0","Apr 18th, 2004"
Daisy Fan,"Hasty and impersonal at office hours, and doesn't use a curve. Makes an intro level course unnecessarily hard, especially since Matlab is not at all mainstream computer programming according to professionals.", CS100M,"QUALITY
2.5
DIFFICULTY
4.0","Jan 1st, 2004"
David Gries,"A divisive class and professor. Do exactly what and how he wants, you'll do great. Disagree with his methods, criteria, etc., you won't like it. Either way, it's certainly a fundamentally imperative class taught by a brilliant scientist. You'll have other semesters to uniquely prove yourself; this class isn't one. Also, READ JAVAHYPERTEXT!", CS2110,"QUALITY
3.0
DIFFICULTY
4.0","Jan 6th, 2022"
David Gries,"Gries is super knowledgeable about the subject and his clever explanations of difficult topics are helpful. He often flexes about his accomplishments in the CS world, and sometimes I question why this guy is teaching me CS since he is so bright. Anyways, he was great!", CS2110,"QUALITY
4.0
DIFFICULTY
3.0","Dec 16th, 2021"
David Gries,He is rude when you ask a question and might cut points because of asking., CS2110,"QUALITY
1.0
DIFFICULTY
5.0","Oct 6th, 2021"
David Gries,Cool dude, CS2110,"QUALITY
5.0
DIFFICULTY
3.0","Jun 7th, 2021"
David Gries,"Gries is pretty old fashioned and while he is a sweetheart and it's wonderful to hear from such a wise person, this course was so annoying in so many ways and I just wish it was taught a bit more like 1110, because that course had passion and excitement. He is kind of boring and the content of the course is okay, but I'm just glad it's over.", CS2110,"QUALITY
3.0
DIFFICULTY
4.0","May 12th, 2021"
David Gries,"Professor Gries goes above and beyond to try and help every student. He takes a good amount of time out of his day to help you, even if you don't explicitly reach out asking for help. He is one of the only professors that actually cares about his students. If you get the chance, definitely take his class!", CS2110,"QUALITY
5.0
DIFFICULTY
3.0","May 12th, 2021"
David Gries,"Took CS 2111 last semester and passes as ""Satisfactoy."" This practicum did not require attendance. No homework or project assigned.", CS2111,"QUALITY
4.0
DIFFICULTY
4.0","Mar 31st, 2021"
David Gries,The professor hardly explains anything and is extremely rude whenever you reach out. The class has no set system that is followed and grades are given out randomly., CS2110,"QUALITY
1.0
DIFFICULTY
3.0","Dec 23rd, 2020"
David Gries,"Attendance isn't exactly mandatory but I found going to lecture helpful. Class was medium difficulty for me because while assignments are easy, I consistently perform below the mean on exams (final is now mandatory btw). Gries is easy to understand and extremely charming and funny in an old man way. Piazza will become the God you worship.", CS2110,"QUALITY
5.0
DIFFICULTY
3.0","May 22nd, 2020"
David Gries,David Gries was one of the most understanding professors during the pandemic. I recommend all people take 2110. He and Clarkson make the class engaging and interesting. Grading is fair and not on a normal type of curve. Gries is a legend for a reason., CS2110,"QUALITY
5.0
DIFFICULTY
4.0","May 22nd, 2020"
David Gries,u should take this class, CS2110,"QUALITY
5.0
DIFFICULTY
3.0","Mar 12th, 2020"
David Gries,"Very cool professor but even after teaching this class for a substantial portion of his life still organizes it horribly. Grading is a nightmare with large sums of points being given, taken, and returned without rhyme or reason. Important things seem to be decided on a whim. Held my breath getting back assignments I knew for a fact I did correctly.", CS2110,"QUALITY
1.0
DIFFICULTY
4.0","Nov 19th, 2019"
